PO number,PO date,Supplier Name,Supplier Code,Buyer Name,Item Number,Item Description,UoM,Qnty Ordered,Currency,Item value/pc with shipping,Total PO value,PO Due Date,Shipping location,Ship to Location,Requested Mode of Transport,Supplier ETA,Unique Code
PO-103908,30/04/25,Supplier K,SUP-1037,Anil Grover,ITM-001,High Precision Resistor,PCS,1335,USD,2.75,3671.25,23/05/25,Japan/Osaka,Philippines/Manila,Air,21/05/25,137A
PO-103909,28/04/25,Supplier C,SUP-1029,Meena Jain,ITM-002,Thermal Paste,TUB,1933,USD,5.81,11230.73,19/05/25,USA/Texas,Philippines/Manila,Sea,17/05/25,229S
PO-103910,29/04/25,Supplier R,SUP-1018,Alice Paul,ITM-004,Silicone Sealant,TUB,1678,USD,3.6,6040.8,30/05/25,Germany/Frankfurt,Philippines/Manila,Sea,29/05/25,418S
PO-103911,25/04/25,Supplier X,SUP-1024,Anil Grover,ITM-004,Silicone Sealant,TUB,1724,USD,5.94,10240.56,23/05/25,USA/California,US/New York,Air,22/05/25,424A
PO-103912,01/05/25,Supplier S,SUP-1019,Anil Grover,ITM-005,Logic Chip,PCS,878,USD,4.22,3705.16,03/06/25,Japan/Tokyo,Taiwan/Taipei,Air,02/06/25,519A
PO-103913,25/04/25,Supplier S,SUP-1019,Anil Grover,ITM-004,Silicone Sealant,TUB,704,USD,5.87,4132.48,19/05/25,Japan/Tokyo,US/New York,Air,17/05/25,419A
PO-103914,01/05/25,Supplier D,SUP-1004,Rajiv Mehta,ITM-005,Logic Chip,PCS,1059,USD,2.6,2753.4,09/06/25,USA/California,Taiwan/Taipei,Sea,08/06/25,504S
PO-103915,23/04/25,Supplier C,SUP-1029,Alice Paul,ITM-002,Thermal Paste,TUB,1740,USD,5.81,10109.4,27/05/25,USA/Texas,Philippines/Manila,Sea,25/05/25,229S
PO-103916,01/05/25,Supplier G,SUP-1007,Alice Paul,ITM-001,High Precision Resistor,PCS,1232,USD,0.75,924,03/06/25,Japan/Osaka,Philippines/Manila,Sea,31/05/25,107S
PO-103917,29/04/25,Supplier S,SUP-1045,Rajiv Mehta,ITM-004,Silicone Sealant,TUB,1854,USD,6.23,11550.42,01/06/25,India/Mumbai,Taiwan/Taipei,Air,30/05/25,445A
PO-103918,25/04/25,Supplier P,SUP-1042,Meena Jain,ITM-004,Silicone Sealant,TUB,1522,USD,3.6,5479.2,23/05/25,Germany/Frankfurt,Philippines/Manila,Sea,20/05/25,442S
PO-103919,24/04/25,Supplier X,SUP-1050,Alice Paul,ITM-001,High Precision Resistor,PCS,1178,USD,2.78,3274.84,30/05/25,Taiwan/Taipei,Taiwan/Taipei,Air,29/05/25,150A
PO-103920,24/04/25,Supplier X,SUP-1050,Alice Paul,ITM-002,Thermal Paste,TUB,1178,USD,7.34,8646.52,28/05/25,Taiwan/Taipei,Philippines/Manila,Air,24/05/25,250A
PO-103921,22/04/25,Supplier J,SUP-1010,Rajiv Mehta,ITM-002,Thermal Paste,TUB,871,USD,7.68,6689.28,30/05/25,Germany/Frankfurt,US/New York,Air,27/05/25,210A
PO-103922,23/04/25,Supplier U,SUP-1021,Anil Grover,ITM-005,Logic Chip,PCS,1734,USD,4.49,7785.66,23/05/25,USA/California,Taiwan/Taipei,Air,21/05/25,521A
PO-103923,27/04/25,Supplier D,SUP-1030,Rajiv Mehta,ITM-002,Thermal Paste,TUB,730,USD,6.94,5066.2,27/05/25,India/Pune,Taiwan/Taipei,Air,25/05/25,230A
PO-103924,27/04/25,Supplier J,SUP-1036,Anil Grover,ITM-002,Thermal Paste,TUB,1702,USD,7,11914,01/06/25,Japan/Osaka,Taiwan/Taipei,Air,31/05/25,236A
PO-103925,26/04/25,Supplier W,SUP-1023,Meena Jain,ITM-004,Silicone Sealant,TUB,1828,USD,3.72,6800.16,18/05/25,India/Pune,Philippines/Manila,Sea,15/05/25,423S
PO-103926,28/04/25,Supplier W,SUP-1023,Rajiv Mehta,ITM-003,Capacitor 100uF,PCS,1177,USD,0.55,647.35,19/05/25,India/Pune,Taiwan/Taipei,Sea,17/05/25,323S
