Item Number,Item Description,Supplier Name,Supplier Code,Supplier Location,Delivery location,Lead time (Weeks),Unit Price (USD),Air shipping cost/pc,Sea shipping cost/pc,Total Unit Cost with Sea shipping,Total Unit Cost with Air shipping,MOQ,Inco Terms,Payment Terms,Stock Ownership Basis (SOB),Contract Number,Contract Date,Contract Validity,Buyer Code,Unique Code if Sea,Unique Code if Air
ITM-001,Apple iPhone 15 Pro,Supplier A,SUP-1001,Japan,US/New York,1,920,50,0.4,920.4,970.4,168,DDP,15 Days,Consignment,CTR-9001,08/05/24,05/07/25,BUY-003,101S,101A
ITM-002,"Samsung 65"" 4K Smart TV",Supplier A,SUP-1001,Japan,US/New York,2,459.62,50,0.41,460.03,510.03,191,EXW,45 Days,Consignment,CTR-9002,04/08/24,09/01/26,BUY-002,201S,201A
ITM-003,Nike Air Jordan Sneakers,Supplier A,SUP-1001,Japan,Philippines/Manila,2,65.13,50,0.41,65.54,115.54,142,EXW,45 Days,Own Stock,CTR-9003,28/03/25,26/01/26,BUY-004,301S,301A
ITM-004,KitchenAid Stand Mixer,Supplier A,SUP-1001,Japan,Philippines/Manila,2,183.49,50,0.38,183.87,233.87,129,EXW,30 Days,Customer-Owned,CTR-9004,22/09/24,16/09/25,BUY-003,401S,401A
ITM-005,Dyson V15 Vacuum Cleaner,Supplier A,SUP-1001,Japan,Philippines/Manila,1,351.82,50,0.36,352.18,402.18,69,DDP,30 Days,Own Stock,CTR-9005,29/10/24,28/07/25,BUY-005,501S,501A
ITM-001,Apple iPhone 15 Pro,Supplier B,SUP-1002,Japan,Philippines/Manila,1,920,50,0.42,920.42,970.42,159,DDP,30 Days,Customer-Owned,CTR-9006,07/12/24,24/08/25,BUY-003,102S,102A
ITM-002,"Samsung 65"" 4K Smart TV",Supplier B,SUP-1002,Japan,Taiwan/Taipei,2,460.12,50,0.42,460.54,510.54,176,EXW,15 Days,Consignment,CTR-9007,09/07/24,23/10/25,BUY-005,202S,202A
ITM-003,Nike Air Jordan Sneakers,Supplier B,SUP-1002,Japan,US/New York,2,65.12,50,0.37,65.49,115.49,116,EXW,30 Days,Own Stock,CTR-9008,03/03/25,23/03/26,BUY-003,302S,302A
ITM-004,KitchenAid Stand Mixer,Supplier B,SUP-1002,Japan,Philippines/Manila,2,183.27,50,0.41,183.68,233.68,132,FOB,45 Days,Own Stock,CTR-9009,10/10/24,27/02/26,BUY-001,402S,402A
ITM-005,Dyson V15 Vacuum Cleaner,Supplier B,SUP-1002,Japan,Taiwan/Taipei,1,351.89,50,0.43,352.32,402.32,73,EXW,45 Days,Customer-Owned,CTR-9010,16/05/24,01/11/25,BUY-001,502S,502A
