Production order number,Production plan date,Production start date,Production end date,Production status,SKU,SKU desc,Customer Name,Qnty planned,Qnty produced,Production line name,Machine name,Shift,Operator name,Supervisor name,BOM ID,Material available status,Key component shortage,ETA,Planned cycle time/unit
PO1001,20/04/25,21/04/25,23/04/25,In Progress,SKU001,Capacitor 100uF,Infineon,1360,804,Line-A,MCH-00,A,Anita Rao,Priya Sen,BOM-101,Yes,None,N/A,2.3
PO1002,22/04/25,23/04/25,24/04/25,In Progress,SKU002,High Precision Resistor,NXP,10000,7229,Line-B,MCH-01,C,Manoj Das,Neeraj Kapoor,BOM-102,Yes,None,N/A,1.6
PO1003,19/04/25,20/04/25,21/04/25,Completed,SKU003,Capacitor 100uF,Qualcomm,1623,1623,Line-C,MCH-02,C,Anita Rao,Neeraj Kapoor,BOM-103,Partial,ITM-003,14/05/25,2.2
PO1004,21/04/25,22/04/25,23/04/25,Completed,SKU004,Logic Chip,Bosch,1269,1269,Line-D,MCH-03,A,Anita Rao,Sunil Mehta,BOM-104,Yes,None,N/A,2.2
PO1005,21/04/25,22/04/25,24/04/25,Completed,SKU005,High Precision Resistor,Bosch,10000,10000,Line-A,MCH-04,A,-,Rahul Verma,BOM-105,Yes,None,N/A,1.7
PO1006,22/04/25,23/04/25,24/04/25,In Progress,SKU006,Thermal Paste,Qualcomm,959,772,Line-B,MCH-05,C,Manoj Das,Rahul Verma,BOM-106,Yes,None,N/A,1.5
PO1007,18/04/25,19/04/25,20/04/25,Completed,SKU007,Thermal Paste,NXP,974,974,Line-C,MCH-06,A,Ramesh Singh,Sunil Mehta,BOM-107,No,ITM-002,09/05/25,1.9
PO1008,23/04/25,24/04/25,26/04/25,Completed,SKU008,KitchenAid Stand Mixer,NXP,1654,1654,Line-D,MCH-07,B,-,Priya Sen,BOM-108,Yes,None,N/A,2.4
PO1009,20/04/25,21/04/25,22/04/25,In Progress,SKU009,High Precision Resistor,Bosch,10000,5325,Line-A,MCH-08,C,Manoj Das,Sunil Mehta,BOM-109,Partial,ITM-001,15/05/25,2.4
PO1010,25/04/25,26/04/25,28/04/25,Completed,SKU010,High Precision Resistor,Qualcomm,10000,10000,Line-B,MCH-09,C,Ramesh Singh,Priya Sen,BOM-110,No,None,N/A,1.8
PO1011,22/04/25,23/04/25,25/04/25,Completed,SKU011,Thermal Paste,Qualcomm,1863,1863,Line-C,MCH-00,C,Ramesh Singh,Priya Sen,BOM-111,Yes,None,N/A,1.7
PO1012,20/04/25,21/04/25,23/04/25,Completed,SKU012,Capacitor 100uF,Qualcomm,1008,1008,Line-D,MCH-01,A,Anita Rao,Sunil Mehta,BOM-112,Partial,None,N/A,2.3
PO1013,24/04/25,25/04/25,N/A,Completed,SKU013,High Precision Resistor,Qualcomm,10000,10000,Line-A,MCH-02,C,-,Neeraj Kapoor,BOM-113,No,ITM-001,07/05/25,1.8
PO1014,19/04/25,20/04/25,22/04/25,In Progress,SKU014,KitchenAid Stand Mixer,Bosch,1525,921,Line-B,MCH-03,B,Manoj Das,Rahul Verma,BOM-114,No,ITM-004,12/05/25,2.1
PO1015,25/04/25,26/04/25,28/04/25,Completed,SKU015,Thermal Paste,Bosch,661,661,Line-C,MCH-04,A,Anita Rao,Neeraj Kapoor,BOM-115,Yes,None,N/A,1.9
PO1016,23/04/25,24/04/25,N/A,In Progress,SKU016,High Precision Resistor,Infineon,10000,7989,Line-D,MCH-05,B,Ramesh Singh,Neeraj Kapoor,BOM-116,Yes,None,N/A,2.4
PO1017,19/04/25,20/04/25,22/04/25,Completed,SKU017,Logic Chip,NXP,1775,1775,Line-A,MCH-06,A,-,Rahul Verma,BOM-117,Yes,None,N/A,1.5
PO1018,19/04/25,20/04/25,21/04/25,Completed,SKU018,KitchenAid Stand Mixer,NXP,1219,1219,Line-B,MCH-07,B,Ramesh Singh,Sunil Mehta,BOM-118,Yes,None,N/A,2.2
PO1019,22/04/25,23/04/25,N/A,In Progress,SKU019,High Precision Resistor,Qualcomm,10000,7933,Line-C,MCH-08,C,-,Neeraj Kapoor,BOM-119,Yes,None,N/A,2.5
PO1020,18/04/25,19/04/25,20/04/25,Completed,SKU020,Thermal Paste,NXP,514,514,Line-D,MCH-09,C,Ramesh Singh,Sunil Mehta,BOM-120,Partial,ITM-002,07/05/25,1.5
PO1021,18/04/25,19/04/25,21/04/25,Completed,SKU021,High Precision Resistor,Qualcomm,10000,10000,Line-A,MCH-00,B,-,Rahul Verma,BOM-121,No,ITM-001,07/05/25,1.7
