Supplier name,Supplier Code,Supplier Location,Contact person,Contact Email,Item number,Item Desc,Manufacturing location/plant name,Total monthly capacity (units),MOQ,Current committed capacity (units),Percentage allocation to company,Current Output volume (units),Lead time,Expedite Qnty possible,Expedite Lead time,Premium to expedite,Technical capabilities,Certifications
Supplier A,SUP-1001,Japan,Rina Desai,contact1001@supplier.com,ITM-001,Apple iPhone 15 Pro,Japan/Osaka,12716,78,9150,27.40%,8951,19,204,2 days,$1.76/pc,"SMD Assembly, BGA Packing","CE, BIS Certified"
Supplier A,SUP-1001,Japan,Rina Desai,contact1001@supplier.com,ITM-002,"Samsung 65"" 4K Smart TV",Japan/Osaka,49193,151,11994,17.00%,11295,18,244,2 days,$1.88/pc,"SMD Assembly, BGA Packing",ISO/TS 16949
Supplier A,SUP-1001,Japan,Suresh Kumar,contact1001@supplier.com,ITM-003,Nike Air Jordan Sneakers,Japan/Osaka,25657,199,8035,21.00%,7635,23,214,1 days,$1.57/pc,"Die Attach, AOI","ISO 13485, RoHS"
Supplier A,SUP-1001,Japan,Karthik Rao,contact1001@supplier.com,ITM-004,KitchenAid Stand Mixer,Japan/Osaka,49209,53,20835,25.80%,20328,10,303,1 days,$1.75/pc,"SMD Assembly, BGA Packing","ISO 9001, ISO 14001"
Supplier A,SUP-1001,Japan,Rina Desai,contact1001@supplier.com,ITM-005,Dyson V15 Vacuum Cleaner,Japan/Osaka,10985,122,5059,28.70%,4601,19,245,2 days,$1.44/pc,"Chip Testing, Reel Packaging","ISO 9001, ISO 14001"
Supplier B,SUP-1002,Japan,Suresh Kumar,contact1002@supplier.com,ITM-001,Apple iPhone 15 Pro,Japan/Tokyo,11381,53,8889,14.80%,8228,6,239,1 days,$1.91/pc,"SMD Assembly, BGA Packing","ISO 13485, RoHS"
Supplier B,SUP-1002,Japan,Rina Desai,contact1002@supplier.com,ITM-002,"Samsung 65"" 4K Smart TV",Japan/Tokyo,27873,80,22145,13.20%,21790,22,347,2 days,$2.06/pc,"Chip Testing, Reel Packaging",ISO/TS 16949
Supplier B,SUP-1002,Japan,Sneha Patel,contact1002@supplier.com,ITM-003,Nike Air Jordan Sneakers,Japan/Tokyo,20902,140,8902,29.30%,8271,20,404,1 days,$1.58/pc,"SMD Assembly, BGA Packing","ISO 13485, RoHS"
Supplier B,SUP-1002,Japan,Suresh Kumar,contact1002@supplier.com,ITM-004,KitchenAid Stand Mixer,Japan/Tokyo,28892,62,9174,24.50%,9101,19,228,2 days,$1.04/pc,"Final Assembly, Burn-In Test","CE, BIS Certified"
Supplier B,SUP-1002,Japan,Sneha Patel,contact1002@supplier.com,ITM-005,Dyson V15 Vacuum Cleaner,Japan/Tokyo,15578,158,5411,19.70%,4606,24,181,2 days,$2.13/pc,"Die Attach, AOI","ISO 9001, ISO 14001"
Supplier C,SUP-1003,China,Suresh Kumar,contact1003@supplier.com,ITM-001,Apple iPhone 15 Pro,China/Suzhou,41207,106,14533,17.00%,14315,17,332,1 days,$1.17/pc,"Die Attach, AOI",ISO/TS 16949
Supplier C,SUP-1003,China,Sneha Patel,contact1003@supplier.com,ITM-002,"Samsung 65"" 4K Smart TV",China/Suzhou,14709,160,5547,17.90%,5105,15,88,1 days,$1.89/pc,"Die Attach, AOI","ISO 9001, ISO 14001"
Supplier C,SUP-1003,China,Rina Desai,contact1003@supplier.com,ITM-003,Nike Air Jordan Sneakers,China/Suzhou,41619,130,12784,22.50%,12397,23,324,2 days,$1.61/pc,"Final Assembly, Burn-In Test",ISO/TS 16949
Supplier C,SUP-1003,China,Suresh Kumar,contact1003@supplier.com,ITM-004,KitchenAid Stand Mixer,China/Suzhou,13319,117,3023,16.90%,2510,24,251,1 days,$1.03/pc,"Final Assembly, Burn-In Test",ISO/TS 16949
Supplier C,SUP-1003,China,Sneha Patel,contact1003@supplier.com,ITM-005,Dyson V15 Vacuum Cleaner,China/Suzhou,11238,129,7233,17.50%,7147,9,356,1 days,$1.34/pc,"Final Assembly, Burn-In Test",ISO/TS 16949
Supplier D,SUP-1004,USA,Sneha Patel,contact1004@supplier.com,ITM-001,Apple iPhone 15 Pro,USA/California,32596,86,11169,28.10%,10909,10,74,2 days,$1.78/pc,"Die Attach, AOI","ISO 13485, RoHS"
Supplier D,SUP-1004,USA,Rina Desai,contact1004@supplier.com,ITM-002,"Samsung 65"" 4K Smart TV",USA/California,15026,52,9212,20.90%,9169,17,426,1 days,$1.76/pc,"Die Attach, AOI","ISO 13485, RoHS"
Supplier D,SUP-1004,USA,Sneha Patel,contact1004@supplier.com,ITM-003,Nike Air Jordan Sneakers,USA/California,30540,103,14756,22.30%,14039,23,93,1 days,$1.98/pc,"Chip Testing, Reel Packaging","ISO 9001, ISO 14001"
Supplier D,SUP-1004,USA,Sneha Patel,contact1004@supplier.com,ITM-004,KitchenAid Stand Mixer,USA/California,27228,64,21194,13.70%,21174,23,289,2 days,$2.16/pc,"Chip Testing, Reel Packaging","ISO 9001, ISO 14001"
Supplier D,SUP-1004,USA,Suresh Kumar,contact1004@supplier.com,ITM-005,Dyson V15 Vacuum Cleaner,USA/California,48555,93,28374,27.90%,27504,18,390,1 days,$2.04/pc,"SMD Assembly, BGA Packing","ISO 9001, ISO 14001"
Supplier E,SUP-1005,USA,Rina Desai,contact1005@supplier.com,ITM-001,Apple iPhone 15 Pro,USA/California,45439,103,11829,12.20%,11235,8,461,1 days,$1.95/pc,"Die Attach, AOI","CE, BIS Certified"
