PO number,GRN No.,Item number,Item Description,UoM,Qnty received,Supplier code,Received Location
PO-78901,GRN100100001,ITM-001,High Precision Resistor,PCS,1680,SUP-1007,Taiwan/Taipei
PO-78902,GRN100100002,ITM-002,Thermal Paste,TUB,1670,SUP-1034,Taiwan/Taipei
PO-78903,GRN100100003,ITM-003,Capacitor 100uF,PCS,1172,SUP-1047,US/New York
PO-78905,GRN100100004,ITM-005,Logic Chip,PCS,1080,SUP-1031,Taiwan/Taipei
PO-78906,GRN100100005,ITM-001,High Precision Resistor,PCS,1786,SUP-1001,Philippines/Manila
PO-78907,GRN100100006,ITM-002,Thermal Paste,TUB,1130,SUP-1001,Philippines/Manila
PO-78908,GRN100100007,ITM-003,Capacitor 100uF,PCS,1411,SUP-1001,Taiwan/Taipei
PO-78909,GRN100100008,ITM-004,Silicone Sealant,TUB,1555,SUP-1001,Taiwan/Taipei
PO-78910,GRN100100009,ITM-005,Logic Chip,PCS,1834,SUP-1001,Philippines/Manila
PO-78911,GRN100100010,ITM-001,High Precision Resistor,PCS,1415,SUP-1002,Philippines/Manila
PO-78912,GRN100100011,ITM-002,Thermal Paste,TUB,1842,SUP-1002,US/New York
PO-78913,GRN100100012,ITM-003,Capacitor 100uF,PCS,510,SUP-1002,US/New York
PO-78914,GRN100100013,ITM-004,Silicone Sealant,TUB,881,SUP-1002,Taiwan/Taipei
PO-78915,GRN100100014,ITM-005,Logic Chip,PCS,1718,SUP-1002,Philippines/Manila
PO-78916,GRN100100015,ITM-001,High Precision Resistor,PCS,1525,SUP-1003,Taiwan/Taipei
PO-78917,GRN100100016,ITM-002,Thermal Paste,TUB,843,SUP-1003,Philippines/Manila
PO-78918,GRN100100017,ITM-003,Capacitor 100uF,PCS,1069,SUP-1003,US/New York
PO-78919,GRN100100018,ITM-004,Silicone Sealant,TUB,1539,SUP-1003,Taiwan/Taipei
PO-78920,GRN100100019,ITM-005,Logic Chip,PCS,527,SUP-1003,Taiwan/Taipei
PO-78921,GRN100100020,ITM-001,High Precision Resistor,PCS,968,SUP-1004,Taiwan/Taipei
PO-78922,GRN100100021,ITM-002,Thermal Paste,TUB,1570,SUP-1004,US/New York
PO-78923,GRN100100022,ITM-003,Capacitor 100uF,PCS,1102,SUP-1004,Philippines/Manila
PO-78924,GRN100100023,ITM-004,Silicone Sealant,TUB,1407,SUP-1004,Philippines/Manila
PO-78925,GRN100100024,ITM-005,Logic Chip,PCS,1404,SUP-1004,US/New York
PO-78926,GRN100100025,ITM-001,High Precision Resistor,PCS,1373,SUP-1005,US/New York
PO-78927,GRN100100026,ITM-002,Thermal Paste,TUB,1891,SUP-1005,Philippines/Manila
PO-78928,GRN100100027,ITM-003,Capacitor 100uF,PCS,1145,SUP-1005,Taiwan/Taipei
PO-78929,GRN100100028,ITM-004,Silicone Sealant,TUB,1373,SUP-1005,US/New York
PO-78930,GRN100100029,ITM-005,Logic Chip,PCS,1109,SUP-1005,Philippines/Manila
PO-78931,GRN100100030,ITM-001,High Precision Resistor,PCS,1691,SUP-1006,Taiwan/Taipei
PO-78932,GRN100100031,ITM-002,Thermal Paste,TUB,1328,SUP-1006,Philippines/Manila
PO-78933,GRN100100032,ITM-003,Capacitor 100uF,PCS,1601,SUP-1006,Taiwan/Taipei
PO-78934,GRN100100033,ITM-004,Silicone Sealant,TUB,677,SUP-1006,Philippines/Manila
PO-78935,GRN100100034,ITM-005,Logic Chip,PCS,1792,SUP-1006,US/New York
PO-78936,GRN100100035,ITM-001,High Precision Resistor,PCS,1297,SUP-1007,Taiwan/Taipei
PO-78937,GRN100100036,ITM-002,Thermal Paste,TUB,1906,SUP-1007,Philippines/Manila
PO-78938,GRN100100037,ITM-003,Capacitor 100uF,PCS,1467,SUP-1007,Philippines/Manila
PO-78939,GRN100100038,ITM-004,Silicone Sealant,TUB,1248,SUP-1007,Taiwan/Taipei
PO-78940,GRN100100039,ITM-005,Logic Chip,PCS,892,SUP-1007,US/New York
PO-78941,GRN100100040,ITM-001,High Precision Resistor,PCS,869,SUP-1008,Taiwan/Taipei
PO-78942,GRN100100041,ITM-002,Thermal Paste,TUB,1700,SUP-1008,US/New York
PO-78943,GRN100100042,ITM-003,Capacitor 100uF,PCS,1257,SUP-1008,Philippines/Manila
PO-78944,GRN100100043,ITM-004,Silicone Sealant,TUB,1730,SUP-1008,Philippines/Manila
PO-78945,GRN100100044,ITM-005,Logic Chip,PCS,530,SUP-1008,Philippines/Manila
PO-78946,GRN100100045,ITM-001,High Precision Resistor,PCS,1426,SUP-1009,US/New York
PO-78947,GRN100100046,ITM-002,Thermal Paste,TUB,1207,SUP-1009,Taiwan/Taipei
PO-78948,GRN100100047,ITM-003,Capacitor 100uF,PCS,808,SUP-1009,Philippines/Manila
PO-78949,GRN100100048,ITM-004,Silicone Sealant,TUB,1799,SUP-1009,Philippines/Manila
PO-78950,GRN100100049,ITM-005,Logic Chip,PCS,1053,SUP-1009,Taiwan/Taipei
PO-78951,GRN100100050,ITM-001,High Precision Resistor,PCS,1513,SUP-1010,Philippines/Manila
PO-78952,GRN100100051,ITM-002,Thermal Paste,TUB,1197,SUP-1010,US/New York
PO-78953,GRN100100052,ITM-003,Capacitor 100uF,PCS,1693,SUP-1010,Philippines/Manila
PO-78954,GRN100100053,ITM-004,Silicone Sealant,TUB,1575,SUP-1010,Philippines/Manila
PO-78955,GRN100100054,ITM-005,Logic Chip,PCS,1451,SUP-1010,Philippines/Manila
PO-78956,GRN100100055,ITM-001,High Precision Resistor,PCS,1127,SUP-1011,Philippines/Manila
PO-78957,GRN100100056,ITM-002,Thermal Paste,TUB,1675,SUP-1011,Taiwan/Taipei
PO-78958,GRN100100057,ITM-003,Capacitor 100uF,PCS,1623,SUP-1011,US/New York
PO-78959,GRN100100058,ITM-004,Silicone Sealant,TUB,690,SUP-1011,Philippines/Manila
PO-78960,GRN100100059,ITM-005,Logic Chip,PCS,1021,SUP-1011,US/New York
PO-78961,GRN100100060,ITM-001,High Precision Resistor,PCS,1729,SUP-1012,Taiwan/Taipei
PO-78962,GRN100100061,ITM-002,Thermal Paste,TUB,922,SUP-1012,US/New York
PO-78963,GRN100100062,ITM-003,Capacitor 100uF,PCS,1134,SUP-1012,US/New York
PO-78964,GRN100100063,ITM-004,Silicone Sealant,TUB,1829,SUP-1012,Philippines/Manila
PO-78965,GRN100100064,ITM-005,Logic Chip,PCS,985,SUP-1012,US/New York
PO-78966,GRN100100065,ITM-001,High Precision Resistor,PCS,550,SUP-1013,Taiwan/Taipei
PO-78967,GRN100100066,ITM-002,Thermal Paste,TUB,689,SUP-1013,Philippines/Manila
PO-78968,GRN100100067,ITM-003,Capacitor 100uF,PCS,594,SUP-1013,US/New York
PO-78969,GRN100100068,ITM-004,Silicone Sealant,TUB,486,SUP-1013,US/New York
PO-78970,GRN100100069,ITM-005,Logic Chip,PCS,738,SUP-1013,US/New York
PO-78971,GRN100100070,ITM-001,High Precision Resistor,PCS,1928,SUP-1014,Philippines/Manila
PO-78972,GRN100100071,ITM-002,Thermal Paste,TUB,805,SUP-1014,US/New York
